InvoiceDetailID,InvoiceID,ProductID,ProductPrice,TaxAmount,ConsignorID,StoreOwned,ItemCost,FedTax,Voided,TaxRef,FedTaxRef,DiscRef,CardNumber,VoidBy,StoreID,EffPrice
41,19,19375,4.95,0.42,81,FALSE,4.20,0,FALSE,,,,,,,
42,19,24290,4.50,0.38,16,FALSE,3.82,0,FALSE,,,,,,,
43,19,19380,8.95,0.75,81,FALSE,7.60,0,FALSE,,,,,,,
44,19,13939,7.00,0.59,51,FALSE,5.95,0,FALSE,,,,,,,
45,19,180720,12.50,1.05,52,FALSE,10.62,0,FALSE,,,,,,,
46,20,57124,2.99,0.25,500,FALSE,2.54,0,FALSE,,,,,,,
47,21,7914,1.95,0.16,56,FALSE,1.65,0,FALSE,,,,,,,
48,21,19793,4.75,0.40,35,FALSE,4.03,0,FALSE,,,,,,,
49,22,53492,0.55,0.05,500,FALSE,0.46,0,TRUE,0.050000001,0,0,,Unknown,,
50,23,180721,85.00,7.14,500,FALSE,72.25,0,TRUE,7.139999866,0,0,,Unknown,,
51,27,180722,11.98,1.01,500,FALSE,10.18,0,FALSE,,,,,,,
52,28,180723,1.99,0.17,500,FALSE,1.69,0,FALSE,,,,,,,
53,28,180724,1.99,0.17,500,FALSE,1.69,0,FALSE,,,,,,,
54,28,180725,0.50,0.04,500,FALSE,0.42,0,FALSE,,,,,,,
55,30,23392,3.50,0.29,31,FALSE,2.97,0,FALSE,,,,,,,
56,30,43406,2.00,0.17,49,FALSE,1.70,0,FALSE,,,,,,,
57,30,43393,1.00,0.08,49,FALSE,0.85,0,FALSE,,,,,,,
58,30,43406,2.00,0.17,49,FALSE,1.70,0,FALSE,,,,,,,
59,30,43407,2.00,0.17,49,FALSE,1.70,0,FALSE,,,,,,,
60,30,43407,2.00,0.17,49,FALSE,1.70,0,FALSE,,,,,,,
61,29,180722,0.35,0.03,500,FALSE,0.30,0,FALSE,,,,,,,
62,31,180726,1.00,0.00,500,FALSE,0.85,0,FALSE,,,,,,,
63,32,180727,250.00,21.00,87,FALSE,212.50,0,FALSE,,,,,,,
64,33,33402,5.00,0.42,47,FALSE,4.25,0,FALSE,,,,,,,
65,34,12313,22.95,1.93,36,FALSE,19.50,0,FALSE,,,,,,,
66,35,11691,4.00,0.34,63,FALSE,3.40,0,FALSE,,,,,,,
67,36,29753,24.00,2.02,89,FALSE,20.40,0,FALSE,,,,,,,
68,36,33955,3.99,0.34,40,FALSE,3.39,0,FALSE,,,,,,,
70,37,50498,4.99,0.00,500,FALSE,4.24,0,FALSE,,,,,,,
71,38,9327,4.99,0.42,70,FALSE,4.24,0,FALSE,,,,,,,
72,38,180727,17.45,0.00,500,FALSE,14.83,0,FALSE,,,,,,,
73,38,23572,2.50,0.21,87,FALSE,2.12,0,FALSE,,,,,,,
74,38,5822,5.00,0.42,25,FALSE,4.25,0,FALSE,,,,,,,
75,39,41776,6.50,0.55,74,FALSE,5.52,0,FALSE,,,,,,,
76,39,36566,4.50,0.38,33,FALSE,3.82,0,FALSE,,,,,,,
77,40,50527,1.74,0.15,500,FALSE,1.47,0,FALSE,,,,,,,
78,40,772059473,5.99,0.50,500,FALSE,5.09,0,FALSE,,,,,,,
79,40,772091145,4.99,0.42,500,FALSE,4.24,0,FALSE,,,,,,,
80,41,1175,8.00,0.67,32,FALSE,6.80,0,FALSE,,,,,,,
81,41,34876,3.99,0.34,2,FALSE,3.39,0,FALSE,,,,,,,
82,41,5907,128.00,10.75,25,FALSE,108.80,0,FALSE,,,,,,,
83,42,7619,25.00,2.10,15,FALSE,21.25,0,FALSE,,,,,,,
84,43,121069,4.50,0.38,74,FALSE,3.82,0,FALSE,,,,,,,
85,44,20307,6.00,0.50,35,FALSE,5.10,0,FALSE,,,,,,,
86,45,121069,1.99,0.17,500,FALSE,1.99,0,FALSE,,,,,,,
87,46,4288,18.00,1.51,76,FALSE,15.30,0,FALSE,,,,,,,
88,47,50986,9.99,0.84,500,FALSE,8.49,0,FALSE,,,,,,,
89,48,11895,34.00,2.86,41,FALSE,28.90,0,FALSE,,,,,,,
90,49,9494,150.00,12.60,27,FALSE,127.50,0,FALSE,,,,,,,
91,49,9494,150.00,12.60,27,FALSE,127.50,0,FALSE,,,,,,,
92,49,25211,5.00,0.42,24,FALSE,4.25,0,FALSE,,,,,,,
93,49,15078,18.00,1.51,51,FALSE,15.30,0,FALSE,,,,,,,
94,49,40520,25.00,2.10,68,FALSE,21.25,0,FALSE,,,,,,,
95,50,41866,6.25,0.52,43,FALSE,5.31,0,FALSE,,,,,,,
96,52,121069,8.36,0.70,500,FALSE,8.36,0,FALSE,,,,,,,8.359999657
97,53,36550,3.50,0.29,33,FALSE,2.97,0,FALSE,,,,,,,
98,53,8820,15.00,1.26,46,FALSE,12.75,0,FALSE,,,,,,,
99,53,36119,6.00,0.50,48,FALSE,5.10,0,FALSE,,,,,,,
100,53,41782,198.00,16.63,74,FALSE,168.30,0,FALSE,,,,,,,
101,54,42595,45.00,3.78,61,FALSE,38.25,0,FALSE,,,,,,,
102,55,19398,10.00,0.84,81,FALSE,8.50,0,FALSE,,,,,,,
103,57,41664,5.95,0.50,74,FALSE,5.05,0,FALSE,,,,,,,
104,57,25210,4.00,0.34,24,FALSE,3.40,0,FALSE,,,,,,,
105,57,7811,8.95,0.75,56,FALSE,7.60,0,FALSE,,,,,,,
107,58,48699,1.99,0.17,500,FALSE,1.69,0,FALSE,,,,,,,
108,59,41662,14.50,1.22,74,FALSE,12.32,0,FALSE,,,,,,,
109,59,772091100,5.99,0.50,500,FALSE,5.99,0,FALSE,,,,,,,
110,60,772091101,0.81,0.07,500,FALSE,0.81,0,FALSE,,,,,,,
111,61,772091102,2.50,0.21,65,FALSE,2.12,0,FALSE,,,,,,,
112,62,4288,18.00,1.51,76,FALSE,15.30,0,FALSE,,,,,,,
113,62,9382,11.95,1.00,27,FALSE,10.15,0,FALSE,,,,,,,
114,62,43347,15.00,1.26,49,FALSE,12.75,0,FALSE,,,,,,,
115,63,43341,5.00,0.42,49,FALSE,4.25,0,FALSE,,,,,,,
116,63,43340,5.00,0.42,49,FALSE,4.25,0,FALSE,,,,,,,
117,63,43342,4.00,0.34,49,FALSE,3.40,0,FALSE,,,,,,,
118,63,43343,3.00,0.25,49,FALSE,2.55,0,FALSE,,,,,,,
119,63,12345,9.95,0.84,36,FALSE,8.45,0,FALSE,,,,,,,
120,63,12345,9.95,0.84,36,FALSE,8.45,0,FALSE,,,,,,,
121,63,29530,3.00,0.25,42,FALSE,2.55,0,FALSE,,,,,,,
122,63,11791,6.50,0.55,63,FALSE,5.52,0,FALSE,,,,,,,
123,63,41479,7.00,0.59,18,FALSE,5.95,0,FALSE,,,,,,,
124,63,23276,7.50,0.63,31,FALSE,6.37,0,FALSE,,,,,,,
125,63,26779,8.00,0.67,59,FALSE,6.80,0,FALSE,,,,,,,
126,64,772091103,54.46,4.57,500,FALSE,54.46,0,FALSE,,,,,,,
127,64,48619,6.49,0.55,500,FALSE,5.51,0,FALSE,,,,,,,
128,64,772091104,0.99,0.08,500,FALSE,0.99,0,FALSE,,,,,,,
129,65,772091105,1.00,0.08,500,FALSE,1.00,0,FALSE,,,,,,,
130,65,55407,1.99,0.17,500,FALSE,1.69,0,FALSE,,,,,,,
131,65,772091105,1.99,0.17,500,FALSE,1.99,0,FALSE,,,,,,,
132,65,55408,0.99,0.08,500,FALSE,0.84,0,FALSE,,,,,,,
133,65,55513,2.99,0.25,500,FALSE,2.54,0,FALSE,,,,,,,
134,65,772091106,1.00,0.00,500,FALSE,1.00,0,FALSE,,,,,,,
135,66,379,6.00,0.50,37,FALSE,5.10,0,FALSE,,,,,,,
136,66,371,8.00,0.67,37,FALSE,6.80,0,FALSE,,,,,,,
137,66,379,6.00,0.50,37,FALSE,5.10,0,FALSE,,,,,,,
138,66,379,6.00,0.50,37,FALSE,5.10,0,FALSE,,,,,,,
139,67,31999,5.99,0.50,22,FALSE,5.09,0,FALSE,,,,,,,
140,67,43156,39.00,3.28,49,FALSE,33.15,0,FALSE,,,,,,,
141,68,56939,9.99,0.84,500,FALSE,8.49,0,FALSE,,,,,,,
142,68,56964,5.99,0.50,500,FALSE,5.09,0,FALSE,,,,,,,
143,68,56865,7.99,0.67,500,FALSE,6.79,0,FALSE,,,,,,,
144,69,772091320,14.98,1.26,500,FALSE,14.98,0,FALSE,,,,,,,
145,70,36200,12.00,1.01,48,FALSE,10.20,0,FALSE,,,,,,,
146,71,29565,8.00,0.67,42,FALSE,6.80,0,FALSE,,,,,,,
147,72,9062,5.00,0.42,70,FALSE,4.25,0,FALSE,,,,,,,
148,73,772091321,22.97,1.93,500,FALSE,22.97,0,TRUE,1.929999948,0,0,,Unknown,,
149,74,772091322,1.98,0.17,500,FALSE,1.98,0,TRUE,0.170000002,0,0,,Unknown,,
150,75,772091323,34.26,2.88,500,FALSE,34.26,0,TRUE,2.880000114,0,0,,Unknown,,
151,76,36550,3.50,0.29,33,FALSE,2.97,0,TRUE,0.289999992,0,0,,Unknown,,
152,77,772091324,48.31,4.06,500,FALSE,48.31,0,TRUE,4.059999943,0,0,,Unknown,,
153,78,772091325,5.99,0.50,500,FALSE,5.99,0,TRUE,0.5,0,0,,Unknown,,
154,80,23240,13.50,1.13,31,FALSE,11.47,0,FALSE,,,,,,,
155,80,23406,4.00,0.34,31,FALSE,3.40,0,FALSE,,,,,,,
156,80,31069,12.00,1.01,67,FALSE,10.20,0,FALSE,,,,,,,
157,80,23406,4.00,0.34,31,FALSE,3.40,0,FALSE,,,,,,,
158,80,0,7.95,0.67,56,FALSE,6.75,0,FALSE,,,,,,,
159,80,7915,1.95,0.16,56,FALSE,1.65,0,FALSE,,,,,,,
160,80,7915,1.95,0.16,56,FALSE,1.65,0,FALSE,,,,,,,
161,80,7915,1.95,0.16,56,FALSE,1.65,0,FALSE,,,,,,,
162,80,7915,1.95,0.16,56,FALSE,1.65,0,FALSE,,,,,,,
163,80,11598,12.00,0.00,85,FALSE,1.44,0,FALSE,,,,,,,
164,80,145626,17.50,1.47,500,FALSE,17.50,0,FALSE,,,,,,,
165,81,145626,0.75,0.06,500,FALSE,0.75,0,FALSE,,,,,,,
166,81,145626,6.38,0.54,500,FALSE,6.38,0,FALSE,,,,,,,
167,81,145626,3.99,0.34,500,FALSE,3.99,0,FALSE,,,,,,,
168,87,11761,12.00,1.01,63,FALSE,10.20,0,FALSE,,,,,,,
169,87,44113,7.20,0.60,65,FALSE,6.12,0,FALSE,,,,,,,
170,87,145626,8.99,0.76,500,FALSE,8.99,0,FALSE,,,,,,,
171,87,772091326,4.99,0.42,500,FALSE,4.99,0,FALSE,,,,,,,
172,88,49402,9.99,0.84,500,FALSE,8.49,0,FALSE,,,,,,,
173,89,772091327,10.56,0.89,500,FALSE,10.56,0,FALSE,,,,,,,
174,89,772091327,4.39,0.00,500,FALSE,4.39,0,FALSE,,,,,,,
175,89,772091327,0.79,0.00,500,FALSE,0.79,0,FALSE,,,,,,,
176,89,772091327,7.99,0.67,500,FALSE,7.99,0,FALSE,,,,,,,
177,89,35856,6.50,0.55,48,FALSE,5.52,0,FALSE,,,,,,,
178,89,772091327,2.70,0.23,500,FALSE,2.70,0,FALSE,,,,,,,
179,90,11682,5.00,0.42,63,FALSE,4.25,0,FALSE,,,,,,,
180,90,36129,8.00,0.67,48,FALSE,6.80,0,FALSE,,,,,,,
181,90,772091328,2.75,0.23,500,FALSE,2.75,0,FALSE,,,,,,,
182,91,57091,3.19,0.27,500,FALSE,2.71,0,FALSE,,,,,,,
183,92,22332,3.99,0.34,17,FALSE,3.39,0,FALSE,,,,,,,
184,93,9498,8.95,0.75,27,FALSE,7.60,0,FALSE,,,,,,,
185,93,9498,8.95,0.75,27,FALSE,7.60,0,FALSE,,,,,,,
186,93,23360,4.99,0.42,31,FALSE,4.24,0,FALSE,,,,,,,
187,94,29423,4.50,0.38,42,FALSE,3.82,0,FALSE,,,,,,,
188,94,10970,4.25,0.36,63,FALSE,3.61,0,FALSE,,,,,,,
189,95,772091328,1.99,0.00,500,FALSE,1.99,0,FALSE,,,,,,,
190,96,772091329,16.46,1.38,500,FALSE,16.46,0,FALSE,,,,,,,
191,97,42232,13.00,1.09,12,FALSE,11.05,0,FALSE,,,,,,,
192,98,772091330,3.60,0.30,500,FALSE,3.60,0,FALSE,,,,,,,
193,98,47942,3.99,0.34,500,FALSE,3.39,0,FALSE,,,,,,,
194,99,772091331,0.33,0.03,500,FALSE,0.33,0,FALSE,,,,,,,
195,100,29375,8.50,0.71,42,FALSE,7.22,0,FALSE,,,,,,,
196,100,29375,8.50,0.71,42,FALSE,7.22,0,FALSE,,,,,,,
197,101,7741,12.00,1.01,64,FALSE,10.20,0,FALSE,,,,,,,
198,102,25076,1.50,0.13,24,FALSE,1.27,0,FALSE,,,,,,,
199,102,42154,28.00,2.35,6,FALSE,23.80,0,FALSE,,,,,,,
200,103,94715,8.75,0.74,500,FALSE,7.43,0,FALSE,,,,,,,
201,103,27006,1.50,0.13,59,FALSE,1.27,0,FALSE,,,,,,,
202,103,25236,4.50,0.38,24,FALSE,3.82,0,FALSE,,,,,,,
203,103,25222,0.50,0.04,24,FALSE,0.42,0,FALSE,,,,,,,
204,103,26993,7.00,0.59,59,FALSE,5.95,0,FALSE,,,,,,,
205,104,94715,12.99,1.09,500,FALSE,12.99,0,FALSE,,,,,,,
206,104,24748,1.50,0.13,500,FALSE,1.27,0,FALSE,,,,,,,
207,104,1645554559,1.50,0.13,500,FALSE,1.50,0,FALSE,,,,,,,
208,104,1645554559,1.50,0.13,500,FALSE,1.50,0,FALSE,,,,,,,
209,104,24796,1.50,0.13,500,FALSE,1.27,0,FALSE,,,,,,,
210,104,-1,1.00,0.00,500,FALSE,1.00,0,FALSE,,,,,,,
211,105,35850,10.00,0.84,48,FALSE,8.50,0,FALSE,,,,,,,
212,105,23354,6.00,0.50,31,FALSE,5.10,0,FALSE,,,,,,,
213,105,56808,5.99,0.50,500,FALSE,5.09,0,FALSE,,,,,,,
214,105,46616,1.99,0.17,500,FALSE,1.69,0,FALSE,,,,,,,
215,106,1645555000,2.00,0.17,500,FALSE,2.00,0,FALSE,,,,,,,
216,107,1645555000,2.19,0.18,500,FALSE,2.19,0,FALSE,,,,,,,
217,107,50535,1.99,0.17,500,FALSE,1.69,0,FALSE,,,,,,,
218,107,50535,1.99,0.17,500,FALSE,1.69,0,FALSE,,,,,,,
219,108,12182,13.00,1.09,93,FALSE,11.05,0,FALSE,,,,,,,
220,108,27196,3.99,0.34,5,FALSE,3.39,0,FALSE,,,,,,,
221,109,5926,150.00,12.60,25,FALSE,127.50,0,FALSE,,,,,,,
222,110,26352,12.95,1.09,77,FALSE,11.00,0,FALSE,,,,,,,
223,110,7675,1.98,0.17,500,FALSE,1.98,0,FALSE,,,,,,,
224,110,77461,1.05,0.09,500,FALSE,1.05,0,FALSE,,,,,,,
225,111,5919,25.00,2.10,25,FALSE,21.25,0,FALSE,,,,,,,
226,112,77461,1.39,0.00,500,FALSE,1.39,0,FALSE,,,,,,,
227,113,50439,3.49,0.00,500,FALSE,2.96,0,FALSE,,,,,,,
228,113,12190,9.00,0.76,93,FALSE,7.65,0,FALSE,,,,,,,
229,114,41937,5.50,0.46,43,FALSE,4.67,0,FALSE,,,,,,,
230,114,27302,19.95,1.68,5,FALSE,16.95,0,FALSE,,,,,,,
231,114,36262,5.00,0.42,48,FALSE,4.25,0,FALSE,,,,,,,
232,114,36262,5.00,0.42,48,FALSE,4.25,0,FALSE,,,,,,,
233,114,36275,4.50,0.38,48,FALSE,3.82,0,FALSE,,,,,,,
234,114,36275,4.50,0.38,48,FALSE,3.82,0,FALSE,,,,,,,
235,115,46085,10.99,0.92,500,FALSE,9.34,0,FALSE,,,,,,,
236,115,12241,12.00,1.01,36,FALSE,10.20,0,FALSE,,,,,,,
237,116,29504,8.00,0.67,42,FALSE,6.80,0,FALSE,,,,,,,
238,116,41779,8.50,0.71,74,FALSE,7.22,0,FALSE,,,,,,,
239,117,5816,2.99,0.25,25,FALSE,2.54,0,FALSE,,,,,,,
240,117,5834,2.99,0.25,25,FALSE,2.54,0,FALSE,,,,,,,
241,117,5834,2.99,0.25,25,FALSE,2.54,0,FALSE,,,,,,,
242,117,5834,2.99,0.25,25,FALSE,2.54,0,FALSE,,,,,,,
243,117,5834,2.99,0.25,25,FALSE,2.54,0,FALSE,,,,,,,
244,117,5834,2.99,0.25,25,FALSE,2.54,0,FALSE,,,,,,,
245,117,5834,2.99,0.25,25,FALSE,2.54,0,FALSE,,,,,,,
246,117,5816,2.99,0.25,25,FALSE,2.54,0,FALSE,,,,,,,
247,117,5834,2.99,0.25,25,FALSE,2.54,0,FALSE,,,,,,,
248,118,27313,14.99,1.26,5,FALSE,12.74,0,FALSE,,,,,,,
249,118,51062,6.99,0.59,500,FALSE,5.94,0,FALSE,,,,,,,
250,118,48456,2.49,0.21,500,FALSE,2.11,0,FALSE,,,,,,,
251,118,27321,1.95,0.16,5,FALSE,1.65,0,FALSE,,,,,,,
252,119,50547,0.75,0.06,500,FALSE,0.63,0,FALSE,,,,,,,
253,119,50547,0.75,0.06,500,FALSE,0.63,0,FALSE,,,,,,,
254,119,1645555001,1.98,0.17,500,FALSE,1.98,0,FALSE,,,,,,,
255,120,7804,12.95,1.09,56,FALSE,11.00,0,FALSE,,,,,,,
256,121,9327,4.99,0.42,70,FALSE,4.24,0,FALSE,,,,,,,
257,121,9330,4.99,0.42,70,FALSE,4.24,0,FALSE,,,,,,,
258,122,57015,1.99,0.17,500,FALSE,1.69,0,FALSE,,,,,,,
259,122,53492,0.55,0.05,500,FALSE,0.46,0,FALSE,,,,,,,
260,122,53492,0.55,0.05,500,FALSE,0.46,0,FALSE,,,,,,,
261,122,53492,0.55,0.05,500,FALSE,0.46,0,FALSE,,,,,,,
262,122,53492,0.55,0.05,500,FALSE,0.46,0,FALSE,,,,,,,
263,123,49682,4.89,0.41,500,FALSE,4.15,0,FALSE,,,,,,,
264,123,49682,4.89,0.41,500,FALSE,4.15,0,FALSE,,,,,,,
265,123,49681,9.99,0.84,500,FALSE,8.49,0,FALSE,,,,,,,
266,124,18029,7.99,0.67,19,FALSE,6.79,0,FALSE,,,,,,,
267,124,4018,14.00,1.18,76,FALSE,11.90,0,FALSE,,,,,,,
268,125,29555,10.00,0.84,42,FALSE,8.50,0,FALSE,,,,,,,
269,126,1645555002,15.98,1.34,500,FALSE,15.98,0,FALSE,,,,,,,
270,126,1645555003,6.99,0.59,500,FALSE,6.99,0,FALSE,,,,,,,
271,127,1645555004,1.98,0.17,500,FALSE,1.98,0,FALSE,,,,,,,
272,128,1645555005,34.26,2.88,500,FALSE,34.26,0,FALSE,,,,,,,
273,129,1645555006,3.79,0.32,33,FALSE,3.22,0,FALSE,,,,,,,
274,130,23371,9.50,0.80,31,FALSE,8.07,0,FALSE,,,,,,,
275,131,1645555007,48.31,4.06,500,FALSE,48.31,0,FALSE,,,,,,,
276,132,7288,14.00,1.18,54,FALSE,11.90,0,FALSE,,,,,,,
277,133,1645555007,24.99,2.10,500,FALSE,24.99,0,FALSE,,,,,,,
278,133,1645555007,11.00,0.92,500,FALSE,11.00,0,FALSE,,,,,,,
279,133,46079,10.99,0.92,500,FALSE,9.34,0,FALSE,,,,,,,
280,134,9326,4.99,0.42,70,FALSE,4.24,0,FALSE,,,,,,,
281,134,9331,4.99,0.42,70,FALSE,4.24,0,FALSE,,,,,,,
282,134,8968,4.99,0.42,70,FALSE,4.24,0,FALSE,,,,,,,
283,135,11893,19.00,1.60,41,FALSE,16.15,0,FALSE,,,,,,,
284,135,23983,95.00,7.98,20,FALSE,80.75,0,FALSE,,,,,,,
285,135,50547,0.75,0.06,500,FALSE,0.63,0,FALSE,,,,,,,
286,136,43402,20.00,1.68,49,FALSE,17.00,0,FALSE,,,,,,,
287,136,1645555008,5.98,0.50,500,FALSE,5.98,0,FALSE,,,,,,,
288,137,378,7.00,0.59,37,FALSE,5.95,0,FALSE,,,,,,,
289,138,31232,1.00,0.08,67,FALSE,0.85,0,FALSE,,,,,,,
290,138,48445,4.99,0.42,500,FALSE,4.24,0,FALSE,,,,,,,
291,139,11755,4.99,0.42,63,FALSE,4.24,0,FALSE,,,,,,,
292,139,11684,5.00,0.42,63,FALSE,4.25,0,FALSE,,,,,,,
293,139,31189,1.50,0.13,67,FALSE,1.27,0,FALSE,,,,,,,
294,139,1645555008,0.99,0.08,500,FALSE,0.99,0,FALSE,,,,,,,
295,140,1645555009,32.96,2.77,500,FALSE,32.96,0,FALSE,,,,,,,
296,140,1645555010,1.59,0.00,500,FALSE,1.59,0,FALSE,,,,,,,
297,141,1645555011,9.99,0.84,500,FALSE,9.99,0,FALSE,,,,,,,
298,142,1645555012,5.94,0.50,500,FALSE,5.94,0,FALSE,,,,,,,
299,143,1645555013,12.98,1.09,500,FALSE,12.98,0,FALSE,,,,,,,
300,144,7286,4.50,0.38,54,FALSE,3.82,0,FALSE,,,,,,,
301,145,1645555014,12.97,1.09,500,FALSE,12.97,0,FALSE,,,,,,,
302,146,1645555015,12.96,1.09,500,FALSE,12.96,0,FALSE,,,,,,,
303,147,1645555016,0.60,0.05,500,FALSE,0.60,0,FALSE,,,,,,,
304,148,1645555017,13.98,1.17,500,FALSE,13.98,0,FALSE,,,,,,,
305,149,1645555018,1.59,0.13,500,FALSE,1.59,0,FALSE,,,,,,,
306,150,1645555019,11.98,1.01,500,FALSE,11.98,0,FALSE,,,,,,,
307,151,1645555020,8.54,0.72,500,FALSE,8.54,0,FALSE,,,,,,,
308,152,1645555021,21.47,1.80,500,FALSE,21.47,0,FALSE,,,,,,,
309,153,1645555022,1.49,0.13,500,FALSE,1.49,0,FALSE,,,,,,,
310,154,179034,16.00,1.34,76,FALSE,0.00,0,FALSE,,,,,,,
311,154,1645555023,17.97,1.51,500,FALSE,17.97,0,FALSE,,,,,,,
312,155,1645555024,18.27,1.53,500,FALSE,18.27,0,FALSE,,,,,,,
313,156,1645555025,14.53,1.22,500,FALSE,14.53,0,FALSE,,,,,,,
314,157,1645555026,47.50,3.99,500,FALSE,47.50,0,FALSE,,,,,,,
315,158,140587,8.95,0.75,56,FALSE,7.60,0,FALSE,,,,,,,
316,159,1645555027,1.39,0.00,500,FALSE,1.39,0,FALSE,,,,,,,
317,160,5528,20.00,1.68,25,FALSE,17.00,0,FALSE,,,,,,,
318,161,30739,3.00,0.25,34,FALSE,2.55,0,FALSE,,,,,,,
319,162,1645555028,63.84,5.36,500,FALSE,63.84,0,FALSE,,,,,,,
320,163,10253,45.00,3.78,63,FALSE,38.25,0,FALSE,,,,,,,
321,164,29763,10.00,0.84,89,FALSE,8.50,0,FALSE,,,,,,,
322,165,1645555029,17.98,1.51,500,FALSE,17.98,0,FALSE,,,,,,,
323,166,1645555030,68.00,5.71,82,FALSE,57.80,0,FALSE,,,,,,,
324,167,1645555031,32.40,2.72,500,FALSE,32.40,0,FALSE,,,,,,,
325,168,6616,2.50,0.21,62,FALSE,2.12,0,FALSE,,,,,,,
326,168,22893,14.99,1.26,17,FALSE,12.74,0,FALSE,,,,,,,
327,168,1645555032,1.03,0.09,500,FALSE,1.03,0,FALSE,,,,,,,
328,169,1645555033,12.98,1.09,500,FALSE,12.98,0,FALSE,,,,,,,
329,170,1645555034,0.33,0.03,500,FALSE,0.33,0,FALSE,,,,,,,
330,170,21970,24.99,2.10,17,FALSE,21.24,0,FALSE,,,,,,,
331,170,10904,24.99,2.10,63,FALSE,21.24,0,FALSE,,,,,,,
332,171,1645555035,3.00,0.25,8,FALSE,2.55,0,TRUE,0.25,0,0,,Unknown,,
333,173,1645555036,3.00,0.25,67,FALSE,2.55,0,FALSE,,,,,,,
334,174,1645555037,3.00,0.25,67,FALSE,2.55,0,FALSE,,,,,,,
335,174,27079,15.00,1.26,59,FALSE,12.75,0,FALSE,,,,,,,
336,175,42590,65.00,5.46,61,FALSE,55.25,0,FALSE,,,,,,,
337,176,29494,10.00,0.84,42,FALSE,8.50,0,FALSE,,,,,,,
338,176,8717,10.00,0.84,46,FALSE,8.50,0,FALSE,,,,,,,
339,176,9325,4.99,0.42,70,FALSE,4.24,0,FALSE,,,,,,,
340,176,7408,10.00,0.84,15,FALSE,8.50,0,FALSE,,,,,,,
