InvoiceID,Employee,InvoiceDate,PaymentTerms,GrossDue,Discount,SalesTax,AcctCredit,NetDue,ItemCount,CreditCardCut,InvCost,FedSalesTax,Text1,Num1,PayTerms2,PayAmt1,PayAmt2,BuyersFee,Layaways,TaxExemptNo,LayCredit,RegisterID,Advertise,ConsID,GCSales,GCCredits,CustNo,StoreID,PCName,SaleTime,TaxJ
68,Unknown,8/13/2019,Cash,23.97,0.00,2.01,0.00,25.98,3,0,20.37000084,0.00,,0,,25.98,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
69,Unknown,8/13/2019,Cash,14.98,0.00,1.26,0.00,16.24,1,0,14.97999954,0.00,,0,,16.24,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
70,Unknown,8/13/2019,Cash,12.00,0.00,1.01,0.00,13.01,1,0,10.19999981,0.00,,0,,13.01,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
71,Unknown,8/13/2019,Cash,8.00,0.00,0.67,0.00,8.67,1,0,6.800000191,0.00,,0,,8.67,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
72,Unknown,8/13/2019,Cash,5.00,0.00,0.42,0.00,5.42,1,0,4.25,0.00,,0,,5.42,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
73,Unknown,8/13/2019,Cash,22.97,0.00,1.93,0.00,24.90,1,0,22.96999931,0.00,,0,,24.90,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
74,Unknown,8/13/2019,Cash,1.98,0.00,0.17,0.00,2.15,1,0,1.980000019,0.00,,0,,2.15,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
75,Unknown,8/13/2019,Cash,34.26,0.00,2.88,0.00,37.14,1,0,34.25999832,0.00,,0,,37.14,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
76,Unknown,8/13/2019,Cash,3.50,0.00,0.29,0.00,3.79,1,0,2.970000029,0.00,,0,,3.79,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
77,Unknown,8/13/2019,Cash,48.31,0.00,4.06,0.00,52.37,1,0,48.31000137,0.00,,0,,52.37,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
78,Unknown,8/13/2019,Cash,5.99,0.00,0.50,0.00,6.49,1,0,5.989999771,0.00,,0,,6.49,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
79,Voided-Unknown,8/13/2019,Refund,-5.99,0.00,-0.50,0.00,-6.49,1,0,-5.989999771,0.00,Cash,6,,-6.49,,,0.00,,0.00,1,78,,0.00,0.00,,,DESKTOP-IFH04SI,,
80,Unknown,8/13/2019,Cash,78.75,0.00,5.61,0.00,84.36,11,0,60.75999832,0.00,,0,,84.36,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
81,Unknown,8/13/2019,Cash,11.12,0.00,0.93,0.00,12.05,3,0,0,0.00,,0,,12.05,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
82,Voided-Unknown,8/13/2019,Refund,-48.31,0.00,-4.06,0.00,-52.37,1,0,-48.31000137,0.00,Cash,48,,-52.37,,,0.00,,0.00,1,77,,0.00,0.00,,,DESKTOP-IFH04SI,,
83,Voided-Unknown,8/13/2019,Refund,-3.50,0.00,-0.29,0.00,-3.79,1,0,-2.970000029,0.00,Cash,3,,-3.79,,,0.00,,0.00,1,76,,0.00,0.00,,,DESKTOP-IFH04SI,,
84,Voided-Unknown,8/13/2019,Refund,-34.26,0.00,-2.88,0.00,-37.14,1,0,-34.25999832,0.00,Cash,34,,-37.14,,,0.00,,0.00,1,75,,0.00,0.00,,,DESKTOP-IFH04SI,,
85,Voided-Unknown,8/13/2019,Refund,-1.98,0.00,-0.17,0.00,-2.15,1,0,-1.980000019,0.00,Cash,2,,-2.15,,,0.00,,0.00,1,74,,0.00,0.00,,,DESKTOP-IFH04SI,,
86,Voided-Unknown,8/13/2019,Refund,-22.97,0.00,-1.93,0.00,-24.90,1,0,-22.96999931,0.00,Cash,23,,-24.90,,,0.00,,0.00,1,73,,0.00,0.00,,,DESKTOP-IFH04SI,,
87,Unknown,8/13/2019,Cash,33.18,0.00,2.79,0.00,35.97,4,0,21.30999947,0.00,,0,,35.97,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
88,Unknown,8/13/2019,Cash,9.99,0.00,0.84,0.00,10.83,1,0,8.489999771,0.00,,0,,10.83,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
89,Unknown,8/13/2019,Cash,32.93,0.00,2.33,0.00,35.26,6,0,16.07999992,0.00,,0,,35.26,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
90,Unknown,8/13/2019,Cash,15.75,0.00,1.32,0.00,17.07,3,0,13.80000019,0.00,,0,,17.07,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
91,Unknown,8/13/2019,Cash,3.19,0.00,0.27,0.00,3.46,1,0,2.710000038,0.00,,0,,3.46,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
92,Unknown,8/13/2019,Cash,3.99,0.00,0.34,0.00,4.33,1,0,3.390000105,0.00,,0,,4.33,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
93,Unknown,8/13/2019,Cash,22.89,0.00,1.92,0.00,24.81,3,0,19.44000053,0.00,,0,,24.81,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
94,Unknown,8/13/2019,Cash,8.75,0.00,0.74,0.00,9.49,2,0,7.429999828,0.00,,0,,9.49,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
95,Unknown,8/13/2019,Cash,1.99,0.00,0.00,0.00,1.99,1,0,0,0.00,,0,,1.99,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
96,Unknown,8/13/2019,Cash,16.46,0.00,1.38,0.00,17.84,1,0,16.45999908,0.00,,0,,17.84,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
97,Unknown,8/13/2019,Cash,13.00,0.00,1.09,0.00,14.09,1,0,11.05000019,0.00,,0,,14.09,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
98,Unknown,8/13/2019,Cash,7.59,0.00,0.64,0.00,8.23,2,0,6.989999771,0.00,,0,,8.23,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
99,Unknown,8/13/2019,Cash,0.33,0.00,0.03,0.00,0.36,1,0,0.330000013,0.00,,0,,0.36,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
100,Unknown,8/13/2019,Cash,17.00,0.00,1.43,0.00,18.43,2,0,14.43999958,0.00,,0,,18.43,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
101,Unknown,8/13/2019,Cash,12.00,0.00,1.01,0.00,13.01,1,0,10.19999981,0.00,,0,,13.01,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
102,Unknown,8/13/2019,Cash,29.50,0.00,2.48,0.00,31.98,2,0,25.06999969,0.00,,0,,31.98,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
103,Unknown,8/13/2019,Cash,22.25,0.00,1.87,0.00,24.12,5,0,18.88999939,0.00,,0,,24.12,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
104,Unknown,8/13/2019,Cash,19.99,0.00,1.60,0.00,21.59,6,0,5.039999962,0.00,,0,,21.59,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
105,Unknown,8/13/2019,Cash,23.98,0.00,2.01,0.00,25.99,4,0,20.37999916,0.00,,0,,25.99,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
106,Unknown,8/13/2019,Cash,2.00,0.00,0.17,0.00,2.17,1,0,2,0.00,,0,,2.17,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
107,Unknown,8/13/2019,Cash,6.17,0.00,0.52,0.00,6.69,3,0,3.380000114,0.00,,0,,6.69,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
108,Unknown,8/13/2019,Cash,16.99,0.00,1.43,0.00,18.42,2,0,14.43999958,0.00,,0,,18.42,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
109,Unknown,8/13/2019,Cash,150.00,0.00,12.60,0.00,162.60,1,0,127.5,0.00,,0,,162.60,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
110,Unknown,8/13/2019,Cash,15.98,0.00,1.34,0.00,17.32,3,0,14.02999973,0.00,,0,,17.32,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
111,Unknown,8/13/2019,Cash,25.00,0.00,2.10,0.00,27.10,1,0,21.25,0.00,,0,,27.10,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
112,Unknown,8/13/2019,Cash,1.39,0.00,0.00,0.00,1.39,1,0,0,0.00,,0,,1.39,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
113,Unknown,8/13/2019,Cash,12.49,0.00,0.76,0.00,13.25,2,0,10.60999966,0.00,,0,,13.25,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
114,Unknown,8/13/2019,Cash,44.45,0.00,3.73,0.00,48.18,6,0,37.75999832,0.00,,0,,48.18,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
115,Unknown,8/13/2019,Cash,22.99,0.00,1.93,0.00,24.92,2,0,19.54000092,0.00,,0,,24.92,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
116,Unknown,8/13/2019,Cash,16.50,0.00,1.39,0.00,17.89,2,0,14.02000046,0.00,,0,,17.89,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
117,Unknown,8/13/2019,Cash,26.91,0.00,2.26,0.00,29.17,9,0,22.86000061,0.00,,0,,29.17,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
118,Unknown,8/13/2019,Cash,26.42,0.00,2.22,0.00,28.64,4,0,22.44000053,0.00,,0,,28.64,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
119,Unknown,8/13/2019,Cash,3.48,0.00,0.29,0.00,3.77,3,0,3.24000001,0.00,,0,,3.77,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
120,Unknown,8/13/2019,Cash,12.95,0.00,1.09,0.00,14.04,1,0,11,0.00,,0,,14.04,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
121,Unknown,8/13/2019,Cash,9.98,0.00,0.84,0.00,10.82,2,0,8.479999542,0.00,,0,,10.82,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
122,Unknown,8/13/2019,Cash,4.19,0.00,0.35,0.00,4.54,5,0,3.529999971,0.00,,0,,4.54,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
123,Unknown,8/13/2019,Cash,19.77,0.00,1.66,0.00,21.43,3,0,16.79000092,0.00,,0,,21.43,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
124,Unknown,8/13/2019,Cash,21.99,0.00,1.85,0.00,23.84,2,0,18.69000053,0.00,,0,,23.84,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
125,Unknown,8/13/2019,Cash,10.00,0.00,0.84,0.00,10.84,1,0,8.5,0.00,,0,,10.84,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
